"","areaCode","areaName","areaType","date","cumPeopleVaccinatedCompleteByVaccinationDate","newPeopleVaccinatedCompleteByVaccinationDate"
"1","E92000001","England","nation",2021-08-31,35559502,97856
"2","E92000001","England","nation",2021-08-30,35461646,49970
"3","E92000001","England","nation",2021-08-29,35411676,63152
"4","E92000001","England","nation",2021-08-28,35348524,113682
"5","E92000001","England","nation",2021-08-27,35234842,111487
"6","E92000001","England","nation",2021-08-26,35123355,122897
"7","E92000001","England","nation",2021-08-25,35000458,123525
"8","E92000001","England","nation",2021-08-24,34876933,119363
"9","E92000001","England","nation",2021-08-23,34757570,108831
"10","E92000001","England","nation",2021-08-22,34648739,93495
"11","E92000001","England","nation",2021-08-21,34555244,171280
"12","E92000001","England","nation",2021-08-20,34383964,143193
"13","E92000001","England","nation",2021-08-19,34240771,150303
"14","E92000001","England","nation",2021-08-18,34090468,143244
"15","E92000001","England","nation",2021-08-17,33947224,117018
"16","E92000001","England","nation",2021-08-16,33830206,114004
"17","E92000001","England","nation",2021-08-15,33716202,100069
"18","E92000001","England","nation",2021-08-14,33616133,174678
"19","E92000001","England","nation",2021-08-13,33441455,142293
"20","E92000001","England","nation",2021-08-12,33299162,162713
"21","E92000001","England","nation",2021-08-11,33136449,144576
"22","E92000001","England","nation",2021-08-10,32991873,118827
"23","E92000001","England","nation",2021-08-09,32873046,109070
"24","E92000001","England","nation",2021-08-08,32763976,94255
"25","E92000001","England","nation",2021-08-07,32669721,186451
"26","E92000001","England","nation",2021-08-06,32483270,138549
"27","E92000001","England","nation",2021-08-05,32344721,140326
"28","E92000001","England","nation",2021-08-04,32204395,130338
"29","E92000001","England","nation",2021-08-03,32074057,107409
"30","E92000001","England","nation",2021-08-02,31966648,90942
"31","E92000001","England","nation",2021-08-01,31875706,91874
"32","E92000001","England","nation",2021-07-31,31783832,183898
"33","E92000001","England","nation",2021-07-30,31599934,138942
"34","E92000001","England","nation",2021-07-29,31460992,141595
"35","E92000001","England","nation",2021-07-28,31319397,129608
"36","E92000001","England","nation",2021-07-27,31189789,113360
"37","E92000001","England","nation",2021-07-26,31076429,105618
"38","E92000001","England","nation",2021-07-25,30970811,93986
"39","E92000001","England","nation",2021-07-24,30876825,180315
"40","E92000001","England","nation",2021-07-23,30696510,152782
"41","E92000001","England","nation",2021-07-22,30543728,153981
"42","E92000001","England","nation",2021-07-21,30389747,143370
"43","E92000001","England","nation",2021-07-20,30246377,122956
"44","E92000001","England","nation",2021-07-19,30123421,106487
"45","E92000001","England","nation",2021-07-18,30016934,104456
"46","E92000001","England","nation",2021-07-17,29912478,201821
"47","E92000001","England","nation",2021-07-16,29710657,165487
"48","E92000001","England","nation",2021-07-15,29545170,168084
"49","E92000001","England","nation",2021-07-14,29377086,147367
"50","E92000001","England","nation",2021-07-13,29229719,121933
"51","E92000001","England","nation",2021-07-12,29107786,93190
"52","E92000001","England","nation",2021-07-11,29014596,82060
"53","E92000001","England","nation",2021-07-10,28932536,178050
"54","E92000001","England","nation",2021-07-09,28754486,144042
"55","E92000001","England","nation",2021-07-08,28610444,135610
"56","E92000001","England","nation",2021-07-07,28474834,126547
"57","E92000001","England","nation",2021-07-06,28348287,106597
"58","E92000001","England","nation",2021-07-05,28241690,104497
"59","E92000001","England","nation",2021-07-04,28137193,85535
"60","E92000001","England","nation",2021-07-03,28051658,167576
"61","E92000001","England","nation",2021-07-02,27884082,137230
"62","E92000001","England","nation",2021-07-01,27746852,144122
"63","E92000001","England","nation",2021-06-30,27602730,135077
"64","E92000001","England","nation",2021-06-29,27467653,111304
"65","E92000001","England","nation",2021-06-28,27356349,101474
"66","E92000001","England","nation",2021-06-27,27254875,97761
"67","E92000001","England","nation",2021-06-26,27157114,177049
"68","E92000001","England","nation",2021-06-25,26980065,130697
"69","E92000001","England","nation",2021-06-24,26849368,133175
"70","E92000001","England","nation",2021-06-23,26716193,119002
"71","E92000001","England","nation",2021-06-22,26597191,120325
"72","E92000001","England","nation",2021-06-21,26476866,93097
"73","E92000001","England","nation",2021-06-20,26383769,79132
"74","E92000001","England","nation",2021-06-19,26304637,198953
"75","E92000001","England","nation",2021-06-18,26105684,163472
"76","E92000001","England","nation",2021-06-17,25942212,171891
"77","E92000001","England","nation",2021-06-16,25770321,177632
"78","E92000001","England","nation",2021-06-15,25592689,171401
"79","E92000001","England","nation",2021-06-14,25421288,163561
"80","E92000001","England","nation",2021-06-13,25257727,151727
"81","E92000001","England","nation",2021-06-12,25106000,278726
"82","E92000001","England","nation",2021-06-11,24827274,247915
"83","E92000001","England","nation",2021-06-10,24579359,249514
"84","E92000001","England","nation",2021-06-09,24329845,253102
"85","E92000001","England","nation",2021-06-08,24076743,247034
"86","E92000001","England","nation",2021-06-07,23829709,234524
"87","E92000001","England","nation",2021-06-06,23595185,217508
"88","E92000001","England","nation",2021-06-05,23377677,425369
"89","E92000001","England","nation",2021-06-04,22952308,320960
"90","E92000001","England","nation",2021-06-03,22631348,309429
"91","E92000001","England","nation",2021-06-02,22321919,281591
"92","E92000001","England","nation",2021-06-01,22040328,270435
"93","E92000001","England","nation",2021-05-31,21769893,147734
"94","E92000001","England","nation",2021-05-30,21622159,173503
"95","E92000001","England","nation",2021-05-29,21448656,379101
"96","E92000001","England","nation",2021-05-28,21069555,371710
"97","E92000001","England","nation",2021-05-27,20697845,356876
"98","E92000001","England","nation",2021-05-26,20340969,366356
"99","E92000001","England","nation",2021-05-25,19974613,322567
"100","E92000001","England","nation",2021-05-24,19652046,258619
"101","E92000001","England","nation",2021-05-23,19393427,220135
"102","E92000001","England","nation",2021-05-22,19173292,521970
"103","E92000001","England","nation",2021-05-21,18651322,370479
"104","E92000001","England","nation",2021-05-20,18280843,367985
"105","E92000001","England","nation",2021-05-19,17912858,307823
"106","E92000001","England","nation",2021-05-18,17605035,266676
"107","E92000001","England","nation",2021-05-17,17338359,201557
"108","E92000001","England","nation",2021-05-16,17136802,154839
"109","E92000001","England","nation",2021-05-15,16981963,355617
"110","E92000001","England","nation",2021-05-14,16626346,340379
"111","E92000001","England","nation",2021-05-13,16285967,377059
"112","E92000001","England","nation",2021-05-12,15908908,404342
"113","E92000001","England","nation",2021-05-11,15504566,307243
"114","E92000001","England","nation",2021-05-10,15197323,180241
"115","E92000001","England","nation",2021-05-09,15017082,155955
"116","E92000001","England","nation",2021-05-08,14861127,404822
"117","E92000001","England","nation",2021-05-07,14456305,415332
"118","E92000001","England","nation",2021-05-06,14040973,422717
"119","E92000001","England","nation",2021-05-05,13618256,350216
"120","E92000001","England","nation",2021-05-04,13268040,206316
"121","E92000001","England","nation",2021-05-03,13061724,93349
"122","E92000001","England","nation",2021-05-02,12968375,133970
"123","E92000001","England","nation",2021-05-01,12834405,333885
"124","E92000001","England","nation",2021-04-30,12500520,356919
"125","E92000001","England","nation",2021-04-29,12143601,396352
"126","E92000001","England","nation",2021-04-28,11747249,387767
"127","E92000001","England","nation",2021-04-27,11359482,307224
"128","E92000001","England","nation",2021-04-26,11052258,236047
"129","E92000001","England","nation",2021-04-25,10816211,223156
"130","E92000001","England","nation",2021-04-24,10593055,490714
"131","E92000001","England","nation",2021-04-23,10102341,392360
"132","E92000001","England","nation",2021-04-22,9709981,348641
"133","E92000001","England","nation",2021-04-21,9361340,337928
"134","E92000001","England","nation",2021-04-20,9023412,268932
"135","E92000001","England","nation",2021-04-19,8754480,199418
"136","E92000001","England","nation",2021-04-18,8555062,191767
"137","E92000001","England","nation",2021-04-17,8363295,474274
"138","E92000001","England","nation",2021-04-16,7889021,443366
"139","E92000001","England","nation",2021-04-15,7445655,364417
"140","E92000001","England","nation",2021-04-14,7081238,290142
"141","E92000001","England","nation",2021-04-13,6791096,231937
"142","E92000001","England","nation",2021-04-12,6559159,166344
"143","E92000001","England","nation",2021-04-11,6392815,156761
"144","E92000001","England","nation",2021-04-10,6236054,448156
"145","E92000001","England","nation",2021-04-09,5787898,408794
"146","E92000001","England","nation",2021-04-08,5379104,404837
"147","E92000001","England","nation",2021-04-07,4974267,379852
"148","E92000001","England","nation",2021-04-06,4594415,156557
"149","E92000001","England","nation",2021-04-05,4437858,47131
"150","E92000001","England","nation",2021-04-04,4390727,37152
"151","E92000001","England","nation",2021-04-03,4353575,155894
"152","E92000001","England","nation",2021-04-02,4197681,218770
"153","E92000001","England","nation",2021-04-01,3978911,418506
"154","E92000001","England","nation",2021-03-31,3560405,347221
"155","E92000001","England","nation",2021-03-30,3213184,240768
"156","E92000001","England","nation",2021-03-29,2972416,132648
"157","E92000001","England","nation",2021-03-28,2839768,93140
"158","E92000001","England","nation",2021-03-27,2746628,237212
