"","areaType","areaName","areaCode","date","age","VaccineRegisterPopulationByVaccinationDate","cumPeopleVaccinatedCompleteByVaccinationDate","newPeopleVaccinatedCompleteByVaccinationDate","cumPeopleVaccinatedFirstDoseByVaccinationDate","newPeopleVaccinatedFirstDoseByVaccinationDate","cumPeopleVaccinatedSecondDoseByVaccinationDate","newPeopleVaccinatedSecondDoseByVaccinationDate","cumVaccinationFirstDoseUptakeByVaccinationDatePercentage","cumVaccinationCompleteCoverageByVaccinationDatePercentage","cumVaccinationSecondDoseUptakeByVaccinationDatePercentage"
"1","nation","England","E92000001","2021-08-31","18_24",5273255,2176195,42973,3404984,4003,2176195,42973,64.6,41.3,41.3
"2","nation","England","E92000001","2021-08-31","25_29",4474620,2080639,22889,2813920,2306,2080639,22889,62.9,46.5,46.5
"3","nation","England","E92000001","2021-08-31","30_34",4772251,2587102,14977,3129942,1938,2587102,14977,65.6,54.2,54.2
"4","nation","England","E92000001","2021-08-31","35_39",4525196,2794956,8412,3180755,1243,2794956,8412,70.3,61.8,61.8
"5","nation","England","E92000001","2021-08-31","40_44",4135655,2909119,3447,3145632,718,2909119,3447,76.1,70.3,70.3
"6","nation","England","E92000001","2021-08-31","45_49",4007808,3100251,2260,3276693,527,3100251,2260,81.8,77.4,77.4
"7","nation","England","E92000001","2021-08-31","50_54",4231060,3520655,1073,3652842,346,3520655,1073,86.3,83.2,83.2
"8","nation","England","E92000001","2021-08-31","55_59",4079586,3504085,746,3620604,211,3504085,746,88.7,85.9,85.9
"9","nation","England","E92000001","2021-08-31","60_64",3451083,3041017,449,3125257,156,3041017,449,90.6,88.1,88.1
"10","nation","England","E92000001","2021-08-31","65_69",2888878,2626926,246,2670475,77,2626926,246,92.4,90.9,90.9
"11","nation","England","E92000001","2021-08-31","70_74",2867074,2679285,167,2711327,43,2679285,167,94.6,93.5,93.5
"12","nation","England","E92000001","2021-08-31","75_79",2070353,1956117,89,1978291,27,1956117,89,95.6,94.5,94.5
"13","nation","England","E92000001","2021-08-31","80_84",1427834,1342589,66,1365699,14,1342589,66,95.6,94,94
"14","nation","England","E92000001","2021-08-31","85_89",858022,804575,37,820674,10,804575,37,95.6,93.8,93.8
"15","nation","England","E92000001","2021-08-31","90+",474485,435991,25,446231,7,435991,25,94,91.9,91.9
"16","nation","England","E92000001","2021-08-30","18_24",5273255,2133222,22773,3400981,2139,2133222,22773,64.5,40.5,40.5
"17","nation","England","E92000001","2021-08-30","25_29",4474620,2057750,11565,2811614,1314,2057750,11565,62.8,46,46
"18","nation","England","E92000001","2021-08-30","30_34",4772251,2572125,7789,3128004,1035,2572125,7789,65.5,53.9,53.9
"19","nation","England","E92000001","2021-08-30","35_39",4525196,2786544,4159,3179512,707,2786544,4159,70.3,61.6,61.6
